#{"t_start": 1727647854.4615552, "env_id": "None"}
0.0,13,7.534196
-1.0,11,7.540733
3.0,29,7.557092
-1.0,31,7.57325
0.0,15,7.581201
0.0,2,7.582222
0.0,42,7.60333
0.0,17,7.611423
0.0,4,7.61337
0.0,5,7.61582
-1.0,7,7.619148
-1.0,8,7.622965
-1.0,4,7.624907
0.0,4,7.626859
0.0,6,7.629753
0.0,2,7.630762
0.0,9,7.635054
0.0,5,7.637511
-1.0,7,7.640869
-1.0,6,7.64376
0.0,19,7.652749
0.0,14,8.077592
0.0,12,8.083356
-1.0,7,8.086688
0.0,11,8.091838
0.0,5,8.094227
0.0,26,8.106294
0.0,4,8.108217
-1.0,4,8.110116
-1.0,9,8.114352
0.0,20,8.123874
0.0,10,8.12856
0.0,3,8.130031
0.0,7,8.133353
0.0,12,8.13902
0.0,8,8.142826
0.0,7,8.146139
0.0,24,8.157408
0.0,6,8.1603
0.0,18,8.168843
-1.0,15,8.175833
0.0,3,8.177292
-1.0,11,8.182551
1.0,32,8.197942
0.0,5,8.200365
0.0,5,8.202797
-1.0,12,8.209521
-1.0,32,8.224458
0.0,7,8.227762
-1.0,11,8.232887
-1.0,18,8.2414
-1.0,18,8.249759
0.0,9,8.254022
0.0,4,8.255983
0.0,12,8.26164
1.0,24,8.272948
1.0,12,8.278619
0.0,5,8.280997
0.0,14,8.287561
0.0,10,8.292351
0.0,9,8.296597
1.0,14,8.303157
0.0,6,8.306059
-1.0,3,8.307488
0.0,10,8.312214
0.0,7,8.315508
1.0,13,8.321567
-1.0,6,8.324403
0.0,5,8.326775
0.0,4,8.328675
-1.0,4,8.330563
-1.0,5,8.332924
0.0,3,8.334359
0.0,7,8.337654
0.0,6,8.340478
-1.0,12,8.346145
0.0,3,8.347685
-1.0,8,8.351524
-1.0,5,8.353978
4.0,43,8.373913
-1.0,5,8.376261
-1.0,4,8.378171
2.0,17,8.386239
-1.0,5,8.388685
0.0,8,8.392487
0.0,11,8.397627
0.0,10,8.402332
0.0,13,8.408407
0.0,28,8.421516
2.0,10,8.426242
2.0,19,8.43525
0.0,4,8.437157
-1.0,4,8.439048
3.0,28,8.452155
0.0,7,8.455475
-1.0,7,8.458767
0.0,4,8.460712
-1.0,13,8.466932
0.0,8,8.470765
1.0,14,8.477319
0.0,22,8.487526
0.0,8,8.491307
0.0,11,8.496462
1.0,41,8.51556
1.0,13,8.521638
-1.0,8,8.525387
0.0,16,8.532828
-1.0,5,8.535205
0.0,4,8.537123
0.0,7,8.540453
0.0,12,8.546339
0.0,4,8.548281
-1.0,4,8.550205
0.0,11,8.555913
-1.0,38,8.574004
0.0,4,8.575933
0.0,6,8.578811
-1.0,5,8.58116
-1.0,3,8.582604
0.0,20,8.591895
1.0,14,8.598409
0.0,10,8.603098
0.0,6,8.605945
0.0,20,8.61524
0.0,7,8.618573
3.0,28,8.631527
2.0,11,8.636726
0.0,14,8.643211
-1.0,21,8.652985
-1.0,4,8.654896
2.0,26,8.667336
-1.0,5,8.669712
0.0,3,8.671179
1.0,17,8.679264
-1.0,5,8.681762
0.0,5,8.684204
0.0,6,8.687047
1.0,7,8.690438
0.0,6,8.693469
0.0,7,8.696906
0.0,15,8.704118
0.0,19,8.714139
-1.0,9,8.71843
0.0,6,8.721272
0.0,5,8.723643
0.0,7,8.726921
1.0,4,8.728853
1.0,16,8.73633
0.0,7,8.739637
0.0,10,8.744981
1.0,12,8.750861
1.0,17,8.758825
-1.0,6,8.761663
0.0,9,8.76592
0.0,3,8.767425
0.0,13,8.773572
-1.0,4,8.775484
0.0,5,8.777921
0.0,3,8.779448
-1.0,6,8.782421
-1.0,16,8.789959
0.0,10,8.794671
-1.0,6,8.79754
-1.0,5,8.799926
0.0,4,8.80194
0.0,4,8.803875
0.0,42,8.823397
1.0,5,8.825874
0.0,19,8.834777
-1.0,10,8.839456
0.0,5,8.841861
0.0,7,8.845159
0.0,21,8.854966
-1.0,8,8.85873
1.0,9,8.863067
0.0,12,8.868644
-1.0,4,8.870567
0.0,6,8.873381
0.0,2,8.874387
0.0,3,8.875844
-1.0,6,8.878708
0.0,4,8.880703
0.0,7,8.884003
0.0,6,8.886843
0.0,5,8.889205
1.0,13,8.895315
0.0,3,8.896806
0.0,5,8.899183
-1.0,11,8.904392
0.0,9,8.908606
0.0,6,8.911479
2.0,16,8.918972
-1.0,16,8.926402
1.0,7,8.929749
1.0,50,8.953276
-1.0,7,8.956542
0.0,12,8.962155
-1.0,6,8.965015
0.0,11,8.970258
0.0,7,8.973607
0.0,27,8.986212
0.0,3,8.987703
0.0,16,8.995201
2.0,9,8.999638
-1.0,4,9.001539
0.0,10,9.0063
0.0,13,9.012762
-1.0,9,9.01705
0.0,10,9.021847
0.0,7,9.025245
0.0,9,9.029555
1.0,8,9.033431
1.0,19,9.042555
0.0,3,9.044095
0.0,13,9.453765
2.0,21,9.466319
-1.0,6,9.472205
0.0,5,9.476082
-1.0,5,9.478769
0.0,10,9.484558
0.0,6,9.487598
0.0,13,9.49412
-1.0,8,9.498221
-1.0,11,9.503832
1.0,19,9.513309
1.0,26,9.526505
0.0,19,9.535808
0.0,14,9.542828
0.0,27,9.556111
0.0,9,9.561321
0.0,8,9.565299
-1.0,6,9.568384
0.0,7,9.571893
0.0,5,9.574423
0.0,5,9.576936
0.0,7,9.580392
0.0,3,9.581888
0.0,7,9.585264
1.0,9,9.589588
2.0,25,9.60249
0.0,7,9.605806
0.0,3,9.607254
0.0,13,9.61331
0.0,10,9.61844
0.0,19,9.628733
0.0,12,9.634936
0.0,5,9.637422
-1.0,10,9.642293
1.0,7,9.645788
0.0,12,9.65385
0.0,6,9.657126
0.0,4,9.659196
0.0,9,9.663686
0.0,8,9.667607
0.0,3,9.669159
3.0,18,9.678394
-1.0,14,9.685359
-1.0,9,9.689757
0.0,4,9.691837
0.0,8,9.695921
-1.0,5,9.69838
0.0,11,9.703729
-1.0,14,9.711507
-1.0,5,9.714034
0.0,10,9.719078
-1.0,5,9.72153
0.0,5,9.724026
0.0,5,9.726482
0.0,5,9.728986
0.0,7,9.732382
-1.0,5,9.734939
-1.0,49,9.757728
0.0,18,9.766076
0.0,3,9.767525
1.0,18,9.775866
-1.0,15,9.78284
0.0,11,9.787968
-1.0,10,9.792668
0.0,3,9.794111
1.0,16,9.801609
0.0,15,9.808587
1.0,11,9.813747
0.0,3,9.815176
-1.0,4,9.817077
0.0,6,9.819905
0.0,6,9.822736
0.0,15,9.829739
0.0,3,9.831202
-1.0,7,9.834527
0.0,5,9.836959
0.0,11,9.842142
0.0,15,9.849093
1.0,7,9.852398
1.0,9,9.857002
0.0,2,9.858007
0.0,13,9.864135
4.0,22,9.874422
-1.0,8,9.878184
0.0,9,9.882416
1.0,18,9.890797
0.0,5,9.893199
0.0,15,9.900154
-1.0,16,9.907498
0.0,7,9.910843
0.0,20,9.920119
0.0,8,9.923902
0.0,5,9.926307
0.0,3,9.927773
0.0,8,9.931517
0.0,3,9.932973
-1.0,5,9.935336
0.0,10,9.940017
0.0,17,9.947866
0.0,11,9.953001
0.0,5,9.955387
0.0,7,9.958674
0.0,7,9.961963
-1.0,40,9.980534
0.0,3,9.981986
0.0,8,9.985726
0.0,16,9.993139
1.0,20,10.002779
0.0,8,10.006432
0.0,4,10.008268
0.0,4,10.010116
0.0,5,10.012418
-1.0,4,10.014245
-1.0,6,10.016985
0.0,6,10.019735
0.0,11,10.024709
0.0,3,10.026165
0.0,4,10.028018
4.0,26,10.039834
-1.0,14,10.046359
0.0,8,10.050139
1.0,4,10.05205
0.0,5,10.054403
0.0,4,10.056322
0.0,5,10.058687
0.0,11,10.063811
0.0,4,10.065721
-1.0,5,10.068076
1.0,14,10.0746
0.0,15,10.081609
-1.0,8,10.085351
0.0,10,10.090014
-1.0,4,10.091935
0.0,2,10.092915
0.0,5,10.095305
1.0,10,10.099987
-1.0,17,10.107886
0.0,9,10.11216
0.0,5,10.114549
-1.0,8,10.118309
-1.0,6,10.121162
0.0,17,10.129064
0.0,12,10.134662
-1.0,5,10.136996
0.0,8,10.140776
0.0,5,10.143152
-1.0,14,10.149624
0.0,25,10.161175
0.0,12,10.16677
0.0,5,10.169146
0.0,8,10.172927
0.0,9,10.177145
-1.0,17,10.185016
-1.0,7,10.188331
0.0,11,10.193474
-1.0,4,10.195512
0.0,11,10.200741
0.0,14,10.207283
-1.0,3,10.209431
0.0,6,10.212571
1.0,9,10.216966
-1.0,16,10.224421
-1.0,10,10.229032
-1.0,6,10.231858
1.0,12,10.237445
0.0,3,10.238894
0.0,12,10.244447
-1.0,11,10.249552
-1.0,10,10.25424
0.0,20,10.263464
2.0,15,10.270537
0.0,23,10.281131
0.0,25,10.292696
0.0,6,10.295679
1.0,14,10.302462
0.0,8,10.306334
1.0,10,10.311144
1.0,9,10.315449
0.0,11,10.320706
0.0,35,10.337162
0.0,11,10.342332
-1.0,4,10.344259
-1.0,4,10.346183
-1.0,5,10.348553
-1.0,7,10.351867
0.0,10,10.356685
1.0,15,10.363671
0.0,10,10.368336
2.0,15,10.375323
-1.0,4,10.377229
0.0,20,10.386439
-1.0,5,10.388805
1.0,4,10.390714
0.0,10,10.3954
1.0,12,10.400993
3.0,32,10.415956
0.0,19,10.424799
0.0,4,10.42671
0.0,12,10.432337
1.0,10,10.437015
0.0,9,10.848115
1.0,17,10.856088
1.0,9,10.860353
1.0,19,10.869266
0.0,6,10.872109
0.0,5,10.874486
0.0,7,10.877792
0.0,5,10.880164
0.0,6,10.882991
0.0,4,10.884892
0.0,21,10.894719
1.0,10,10.899399
1.0,12,10.905045
0.0,6,10.907906
0.0,15,10.91487
0.0,8,10.918676
0.0,5,10.921029
0.0,5,10.923389
0.0,2,10.924376
0.0,14,10.930867
0.0,15,10.937938
0.0,5,10.940437
0.0,19,10.949343
1.0,19,10.958167
0.0,7,10.961472
1.0,20,10.970846
-1.0,30,10.984819
0.0,7,10.988149
0.0,4,10.990079
1.0,31,11.004608
0.0,11,11.009765
0.0,10,11.014502
-1.0,4,11.01641
0.0,4,11.018346
2.0,8,11.022181
0.0,4,11.024118
-1.0,7,11.027424
0.0,11,11.032623
0.0,10,11.037312
-1.0,18,11.045928
-1.0,4,11.047844
0.0,3,11.049309
0.0,3,11.050777
2.0,24,11.062046
1.0,7,11.06537
0.0,6,11.068242
0.0,9,11.072518
0.0,16,11.080228
2.0,14,11.086896
0.0,4,11.088834
0.0,16,11.096389
1.0,10,11.101147
0.0,9,11.105452
3.0,42,11.125115
0.0,21,11.136222
0.0,6,11.139173
-1.0,20,11.149366
-1.0,8,11.153388
0.0,9,11.157691
1.0,4,11.159637
0.0,11,11.164843
1.0,18,11.173231
0.0,10,11.177929
-1.0,7,11.181231
0.0,12,11.186855
-1.0,6,11.189728
1.0,24,11.201171
0.0,8,11.205054
2.0,18,11.214314
0.0,2,11.215318
0.0,3,11.21682
0.0,8,11.220868
0.0,16,11.228368
1.0,16,11.235807
0.0,18,11.244296
0.0,10,11.248989
0.0,7,11.252326
0.0,8,11.256104
0.0,14,11.262625
0.0,9,11.266897
0.0,7,11.270217
0.0,8,11.274057
0.0,3,11.275518
0.0,10,11.28023
0.0,3,11.281708
-1.0,10,11.286404
0.0,6,11.289267
-1.0,7,11.292569
0.0,6,11.295447
0.0,9,11.299708
0.0,7,11.30303
1.0,45,11.323991
-1.0,11,11.329168
-1.0,8,11.332936
-1.0,10,11.337609
1.0,22,11.347931
2.0,35,11.364239
0.0,4,11.366157
0.0,4,11.368072
1.0,20,11.377566
0.0,3,11.37904
0.0,18,11.38753
0.0,4,11.389509
-1.0,4,11.391462
1.0,11,11.396658
-1.0,5,11.399049
2.0,17,11.40703
0.0,5,11.409419
0.0,17,11.417373
0.0,15,11.42442
0.0,3,11.425894
0.0,14,11.432459
1.0,8,11.436257
1.0,38,11.454015
0.0,6,11.456877
0.0,19,11.465736
0.0,8,11.469501
0.0,22,11.479809
0.0,9,11.484041
0.0,7,11.487424
-1.0,6,11.490366
0.0,12,11.495983
-1.0,9,11.500246
-1.0,5,11.502648
0.0,16,11.510195
0.0,12,11.515828
0.0,10,11.520561
0.0,5,11.522966
0.0,13,11.529089
-1.0,9,11.533351
2.0,25,11.545992
1.0,17,11.554247
0.0,3,11.555727
-1.0,4,11.557629
0.0,6,11.560502
-1.0,3,11.56198
0.0,4,11.563952
2.0,20,11.573482
0.0,5,11.57589
2.0,13,11.582074
-1.0,5,11.584456
0.0,9,11.588742
0.0,3,11.590204
-1.0,8,11.593987
0.0,7,11.597299
0.0,6,11.60016
1.0,37,11.617395
0.0,7,11.620693
0.0,9,11.624932
0.0,6,11.627776
3.0,20,11.637136
0.0,7,11.64049
0.0,8,11.644302
2.0,14,11.650959
0.0,8,11.65472
-1.0,21,11.664527
0.0,5,11.666942
0.0,4,11.668879
0.0,2,11.669908
3.0,33,11.685695
1.0,14,11.692307
0.0,3,11.693781
0.0,21,11.704575
1.0,16,11.712111
0.0,10,11.716835
4.0,36,11.733678
-1.0,5,11.736058
0.0,21,11.745848
-1.0,10,11.750568
-1.0,3,11.752002
0.0,4,11.753946
0.0,5,11.756328
0.0,5,11.758727
0.0,8,11.762489
1.0,36,11.7793
4.0,10,11.784072
0.0,3,11.785529
0.0,3,11.787012
0.0,3,11.788494
0.0,5,11.790905
0.0,22,11.801175
0.0,4,11.803094
0.0,11,11.808246
0.0,11,11.813421
-1.0,10,12.216304
0.0,14,12.223573
1.0,9,12.227884
1.0,12,12.233626
2.0,9,12.2379
-1.0,3,12.239353
-1.0,6,12.242194
0.0,2,12.2432
1.0,24,12.254507
0.0,12,12.261333
0.0,3,12.263192
3.0,22,12.273906
0.0,6,12.276817
4.0,18,12.28569
0.0,14,12.292663
0.0,18,12.302419
0.0,5,12.304857
-1.0,3,12.306385
0.0,2,12.307392
0.0,2,12.308399
0.0,4,12.310579
0.0,10,12.3157
2.0,16,12.323523
0.0,13,12.330304
0.0,6,12.333568
0.0,6,12.336588
0.0,9,12.340872
1.0,39,12.361224
0.0,3,12.362698
0.0,10,12.367875
0.0,26,12.38136
-1.0,4,12.383289
0.0,4,12.385402
0.0,3,12.386902
0.0,5,12.3893
0.0,4,12.391433
0.0,3,12.393225
0.0,4,12.39525
0.0,2,12.39626
0.0,6,12.399691
0.0,4,12.401721
1.0,9,12.40607
0.0,3,12.40755
0.0,5,12.410382
0.0,4,12.412319
0.0,9,12.416999
0.0,13,12.423276
1.0,8,12.42755
0.0,24,12.439388
-1.0,11,12.445082
2.0,32,12.461769
0.0,5,12.464598
0.0,17,12.472855
1.0,7,12.47664
0.0,9,12.481227
2.0,35,12.498349
0.0,3,12.499823
0.0,7,12.50336
0.0,13,12.509452
0.0,9,12.514348
0.0,8,12.518274
0.0,3,12.519821
3.0,10,12.524731
0.0,11,12.529929
0.0,20,12.53931
2.0,32,12.555491
0.0,5,12.55802
0.0,9,12.562278
0.0,11,12.567524
1.0,11,12.572702
3.0,21,12.582622
0.0,5,12.58502
1.0,23,12.595928
0.0,4,12.597911
0.0,15,12.605005
0.0,18,12.61354
0.0,4,12.615479
0.0,6,12.618326
0.0,7,12.621644
0.0,6,12.624496
0.0,12,12.630131
0.0,15,12.637209
0.0,2,12.638201
0.0,2,12.639199
0.0,16,12.646858
0.0,22,12.658232
0.0,5,12.660687
1.0,15,12.667917
0.0,6,12.6709
0.0,2,12.671917
0.0,20,12.681693
0.0,10,12.686394
0.0,7,12.68972
0.0,17,12.698599
1.0,18,12.707439
0.0,5,12.709875
0.0,8,12.713817
0.0,12,12.719708
-1.0,7,12.723186
0.0,21,12.733259
0.0,10,12.738138
-1.0,5,12.740512
1.0,28,12.753673
0.0,7,12.757054
1.0,25,12.768847
0.0,3,12.770323
1.0,28,12.783515
3.0,22,12.793891
1.0,25,12.805653
1.0,22,12.816036
0.0,2,12.817035
0.0,3,12.818496
-1.0,9,12.822738
0.0,26,12.834882
2.0,21,12.844861
1.0,22,12.855287
0.0,17,12.863272
0.0,11,12.868567
2.0,20,12.878082
1.0,14,12.885777
0.0,9,12.890328
0.0,12,12.89627
0.0,10,12.90147
0.0,3,12.903132
0.0,3,12.904635
1.0,23,12.916584
3.0,22,12.927402
1.0,42,12.94916
0.0,6,12.952158
0.0,8,12.956064
1.0,22,12.967415
-1.0,11,12.972818
-1.0,11,12.978282
1.0,12,12.984925
1.0,20,12.994691
0.0,10,13.000512
0.0,12,13.0064
1.0,11,13.011739
0.0,4,13.01391
1.0,16,13.022351
0.0,6,13.025349
1.0,21,13.036552
0.0,8,13.04056
2.0,12,13.046335
0.0,5,13.049721
0.0,14,13.05651
1.0,22,13.067702
0.0,7,13.071176
0.0,9,13.075594
0.0,10,13.08054
1.0,11,13.086353
1.0,11,13.09171
-1.0,4,13.093623
2.0,29,13.108275
0.0,5,13.110686
-1.0,6,13.113639
-1.0,5,13.116556
2.0,23,13.127767
2.0,13,13.134647
0.0,9,13.139048
0.0,10,13.143881
0.0,19,13.15373
0.0,7,13.157103
0.0,4,13.159194
0.0,3,13.160713
1.0,13,13.16792
0.0,4,13.169965
0.0,15,13.177263
-1.0,14,13.18483
0.0,7,13.188317
0.0,7,13.191785
0.0,6,13.194698
0.0,4,13.196639
0.0,10,13.202361
0.0,7,13.205876
0.0,9,13.210234
0.0,4,13.212235
-1.0,5,13.21481
0.0,8,13.219467
0.0,11,13.225034
0.0,6,13.227999
1.0,42,13.718402
0.0,17,13.726939
-1.0,5,13.729448
4.0,27,13.744117
0.0,3,13.745629
0.0,3,13.747131
1.0,12,13.754288
-1.0,5,13.756796
0.0,9,13.761314
0.0,7,13.764761
0.0,6,13.768804
0.0,4,13.771007
0.0,12,13.777043
2.0,13,13.784538
0.0,12,13.790576
1.0,13,13.797054
0.0,9,13.802833
0.0,3,13.804355
0.0,15,13.811895
0.0,4,13.813932
1.0,15,13.822532
0.0,4,13.824553
0.0,12,13.830656
0.0,7,13.835492
0.0,7,13.839105
1.0,19,13.848513
0.0,5,13.852165
0.0,17,13.860719
0.0,5,13.863238
1.0,27,13.877973
0.0,4,13.880038
0.0,14,13.88819
-1.0,7,13.891678
0.0,6,13.894827
1.0,8,13.898885
0.0,16,13.908128
4.0,31,13.924746
0.0,8,13.928852
2.0,14,13.93699
0.0,9,13.941568
1.0,13,13.948127
-1.0,6,13.952265
0.0,4,13.954391
0.0,4,13.956527
0.0,9,13.961103
0.0,3,13.962693
0.0,6,13.965662
0.0,6,13.970045
0.0,9,13.974469
1.0,7,13.977942
2.0,27,13.992598
2.0,15,14.00124
1.0,9,14.005821
0.0,11,14.01125
0.0,7,14.01461
0.0,22,14.026772
1.0,8,14.030634
0.0,3,14.032116
1.0,14,14.040686
0.0,21,14.051983
0.0,5,14.054592
-1.0,7,14.058054
0.0,2,14.059091
0.0,8,14.06306
1.0,16,14.072119
0.0,7,14.075525
0.0,4,14.077634
0.0,9,14.081962
0.0,9,14.087555
0.0,3,14.089038
-1.0,5,14.091504
0.0,6,14.094491
0.0,2,14.095514
3.0,41,14.117586
0.0,4,14.119732
0.0,6,14.122794
4.0,33,14.139924
1.0,20,14.150203
0.0,4,14.152807
0.0,2,14.153882
0.0,3,14.155441
0.0,4,14.157447
0.0,7,14.160886
0.0,9,14.165147
2.0,17,14.17433
2.0,12,14.180237
0.0,8,14.184927
0.0,3,14.186488
0.0,14,14.193319
-1.0,5,14.195805
0.0,8,14.200229
0.0,9,14.205131
3.0,37,14.223459
0.0,3,14.224939
4.0,54,14.250988
1.0,65,14.282004
0.0,4,14.285511
4.0,47,14.312268
0.0,11,14.318853
0.0,19,14.328035
0.0,9,14.33269
1.0,11,14.338679
1.0,9,14.343181
0.0,3,14.344695
0.0,2,14.34572
0.0,23,14.358114
0.0,4,14.3602
1.0,13,14.367029
0.0,3,14.368679
0.0,3,14.370283
0.0,2,14.371284
0.0,10,14.376174
0.0,9,14.380538
2.0,19,14.390329
0.0,4,14.392305
0.0,13,14.398741
3.0,55,14.434355
0.0,5,14.440519
0.0,7,14.449014
0.0,13,14.46151
0.0,4,14.463689
0.0,9,14.47034
0.0,5,14.474203
0.0,11,14.479919
3.0,42,14.504607
1.0,21,14.516058
0.0,10,14.521749
1.0,11,14.528324
0.0,6,14.531724
0.0,4,14.534811
0.0,11,14.541022
0.0,4,14.543258
0.0,4,14.545429
0.0,10,14.551362
0.0,10,14.557034
1.0,9,14.561881
0.0,8,14.860071
1.0,47,14.887181
1.0,23,14.900017
2.0,90,14.951576
1.0,20,14.961564
0.0,9,14.966552
2.0,11,14.972193
1.0,39,14.991772
0.0,4,14.993754
0.0,3,14.995295
1.0,21,15.006493
0.0,3,15.008015
0.0,2,15.00904
-1.0,7,15.01245
0.0,10,15.017668
0.0,8,15.021865
1.0,16,15.029701
4.0,29,15.045463
2.0,15,15.053818
0.0,4,15.055778
0.0,4,15.057724
0.0,3,15.059192
0.0,3,15.06076
3.0,26,15.074106
1.0,5,15.076568
0.0,9,15.080841
4.0,34,15.097523
0.0,2,15.098521
3.0,30,15.113318
